time,000001.OF,000011.OF,000021.OF,000020.OF,000039.OF,000017.OF,000029.OF,000030.OF,000126.OF,000057.OF,000066.OF,000083.OF,000073.OF,000082.OF,000117.OF,000136.OF,000120.OF,000056.OF,000173.OF,000127.OF,000264.OF,000209.OF,000172.OF,000242.OF,000220.OF,000251.OF,000167.OF,000263.OF,000294.OF,000199.OF
20150105,5.78867537,15.78275887,2.87400405,1.243,1.4235,1.8918,1.284,1.407,1.155,1.401,1.182,1.399,0.992,1.451,1.018,1.254,1.1366,1.274,1.476,1.3589,0.9823,1.512,1.808,1.1439,1.372,2.247,1.212,1.613,1.253,
20150106,5.82247081,15.88560048,2.90280581,1.271,1.4078,1.8865,1.2699,1.416,1.159,1.404,1.188,1.437,1.008,1.457,1.033,1.249,1.1552,1.281,1.504,1.3444,1.0024,1.49,1.805,1.1616,1.41,2.242,1.218,1.655,1.253,
20150107,5.80798705,15.80675524,2.90074854,1.274,1.4045,1.9045,1.2764,1.416,1.159,1.401,1.186,1.453,1.005,1.455,1.033,1.253,1.1572,1.263,1.511,1.3522,0.9945,1.512,1.801,1.1581,1.402,2.249,1.218,1.653,1.259,
20150108,5.75005202,15.72276793,2.87811859,1.276,1.3802,1.8823,1.2472,1.412,1.157,1.375,1.179,1.462,1.0,1.439,1.028,1.238,1.1469,1.248,1.519,1.3202,0.9954,1.474,1.765,1.1593,1.407,2.198,1.2,1.659,1.232,
20150109,5.73074034,15.74333625,2.88017586,1.28,1.3834,1.8812,1.2483,1.413,1.154,1.375,1.177,1.451,1.005,1.437,1.028,1.238,1.1438,1.242,1.525,1.3241,0.9875,1.466,1.763,1.1545,1.387,2.217,1.212,1.659,1.237,
20150112,5.69211698,15.86503215,2.8904622,1.274,1.376,1.8738,1.2418,1.429,1.152,1.379,1.169,1.461,1.022,1.431,1.029,1.24,1.1438,1.229,1.545,1.3174,0.991,1.448,1.747,1.1616,1.381,2.217,1.213,1.712,1.224,
20150113,5.75005202,16.03300678,2.90486308,1.3,1.3855,1.8928,1.2451,1.434,1.156,1.391,1.175,1.478,1.048,1.442,1.046,1.255,1.1666,1.235,1.551,1.3165,1.0024,1.445,1.75,1.1805,1.41,2.228,1.218,1.729,1.225,
20150114,5.70177282,15.90788282,2.91103489,1.288,1.3794,1.8759,1.2429,1.43,1.155,1.39,1.173,1.464,1.038,1.439,1.048,1.25,1.1624,1.232,1.548,1.3139,0.9919,1.463,1.751,1.1675,1.427,2.227,1.219,1.707,1.231,
20150115,5.76453578,15.9764439,2.95012299,1.312,1.4085,1.9298,1.285,1.437,1.158,1.42,1.177,1.477,1.037,1.467,1.058,1.269,1.1707,1.259,1.565,1.3426,1.0024,1.51,1.799,1.1687,1.416,2.312,1.233,1.742,1.25,
20150116,5.84178249,16.16155879,2.98509655,1.337,1.4301,1.9689,1.2937,1.449,1.161,1.435,1.185,1.519,1.062,1.48,1.084,1.29,1.1924,1.269,1.608,1.3641,1.0085,1.512,1.81,1.1829,1.431,2.33,1.253,1.796,1.271,1.0
20150119,5.68246115,15.63706659,2.88223313,1.285,1.3749,1.8854,1.2105,1.429,1.147,1.35,1.16,1.51,1.046,1.41,1.055,1.248,1.1552,1.2,1.573,1.2924,0.9823,1.412,1.692,1.151,1.398,2.177,1.179,1.782,1.198,0.993
20150120,5.82247081,16.26782845,2.97892474,1.346,1.4109,1.9383,1.2332,1.443,1.158,1.375,1.173,1.567,1.098,1.438,1.092,1.296,1.1955,1.233,1.631,1.3215,1.0155,1.409,1.712,1.1911,1.437,2.205,1.202,1.871,1.224,0.998
20150121,5.94316879,16.56949717,3.0468146,1.382,1.4298,1.9784,1.2591,1.458,1.168,1.428,1.189,1.615,1.107,1.484,1.113,1.33,1.2214,1.267,1.673,1.3443,1.0356,1.46,1.762,1.2124,1.442,2.313,1.235,1.89,1.269,1.004
20150122,5.96248047,16.65691254,3.06944456,1.391,1.4392,1.989,1.2677,1.46,1.173,1.433,1.19,1.626,1.117,1.493,1.119,1.342,1.2245,1.277,1.681,1.3476,1.0435,1.48,1.769,1.2265,1.464,2.324,1.247,1.897,1.266,1.006
20150123,5.91420128,16.53521664,3.04475734,1.376,1.4133,1.9678,1.2677,1.455,1.17,1.436,1.191,1.593,1.106,1.489,1.101,1.328,1.2069,1.269,1.651,1.3273,1.0408,1.491,1.767,1.2077,1.44,2.341,1.243,1.836,1.264,1.004
20150126,6.02524342,16.75632609,3.10030358,1.401,1.4384,2.0206,1.2775,1.465,1.177,1.439,1.194,1.617,1.132,1.506,1.132,1.359,1.2255,1.284,1.68,1.3579,1.0487,1.502,1.775,1.2324,1.475,2.359,1.259,1.864,1.272,1.011
20150127,6.06386678,16.73061569,3.09618905,1.41,1.4442,2.0143,1.2656,1.461,1.18,1.427,1.197,1.631,1.144,1.498,1.143,1.367,1.2307,1.282,1.682,1.3495,1.0435,1.495,1.7675,1.2336,1.494,2.325,1.258,1.858,1.268,1.01
20150128,6.00593175,16.51636234,3.06327275,1.387,1.4194,1.9879,1.2483,1.455,1.177,1.404,1.188,1.612,1.125,1.484,1.137,1.353,1.2172,1.271,1.66,1.3344,1.0382,1.487,1.7526,1.2277,1.472,2.297,1.239,1.824,1.247,1.01
20150129,5.99627591,16.34667369,3.0406428,1.381,1.4043,1.9847,1.2407,1.452,1.178,1.394,1.179,1.607,1.115,1.472,1.132,1.347,1.2079,1.267,1.651,1.337,1.0382,1.487,1.7339,1.2171,1.451,2.284,1.231,1.82,1.237,1.007
20150130,5.93834087,16.13756242,3.01184104,1.378,1.3826,1.934,1.2396,1.446,1.178,1.381,1.175,1.568,1.092,1.454,1.115,1.332,1.179,1.259,1.613,1.3076,1.0277,1.48,1.7189,1.21,1.442,2.257,1.223,1.77,1.223,1.007
20150202,5.90454544,16.16155879,3.01184104,1.361,1.392,1.9573,1.2332,1.449,1.178,1.361,1.169,1.58,1.096,1.432,1.127,1.339,1.1759,1.246,1.637,1.3198,1.0242,1.469,1.6953,1.21,1.444,2.219,1.227,1.766,1.214,1.011
20150203,5.99627591,16.56949717,3.08178817,1.384,1.4351,2.0228,1.2515,1.47,1.187,1.39,1.174,1.645,1.127,1.46,1.16,1.361,1.1976,1.267,1.698,1.3604,1.0338,1.502,1.7277,1.2277,1.484,2.279,1.26,1.834,1.236,1.014
20150204,5.97213631,16.60549174,3.07150183,1.378,1.4378,2.0513,1.2537,1.473,1.187,1.378,1.175,1.663,1.124,1.45,1.166,1.357,1.2079,1.26,1.717,1.3718,1.0251,1.503,1.7152,1.2218,1.481,2.258,1.265,1.85,1.234,1.017
20150205,5.94316879,16.58492341,3.06533002,1.382,1.458,2.0566,1.2537,1.476,1.186,1.373,1.172,1.703,1.114,1.443,1.174,1.362,1.2121,1.257,1.739,1.3612,1.0251,1.498,1.7003,1.2206,1.492,2.253,1.278,1.843,1.239,1.017
